System_Ref,Name,Provider_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Easting,Northing,Upload_to_FIDy
10244,Lambeth Autism Advisory Service,Support & Advice,Civic Centre,6 Brixton Hill,,,London,SW2 1EG,530917,175095,FSD
7656,Disability Register And Liberty Card,Activity,Civic Centre,6 Brixton Hill,,,London,SW2 1EG,530917,175095,FSD
2701,Special Educational Needs (SEND),Organisation,Civic Centre,6 Brixton Hill,,,London,SW2 1EG,530917,175095,FSD
5114,S.Y.C.T. Streatham Wednesday Group,Activity,16 Wellfield Road,,,,London,SW16 2BP,530287,171736,FSD
7484,S.Y.C.T.''s Breakfast Club At Streatham Vale Park,Holiday Provision,Streatham Vale Adventure Playground,Abercairn Road,,,London,SW16 5AE,529554,170506,FSD
9990,S.Y.C.T. Breakfast Club,Out Of School Tuition,Streatham Youth Centre,Conyers Road,,,London,SW16 6LS,529638,170898,FSD
9997,S.Y.C.T. Juniors Club,Youth Club,Streatham Youth Centre,Conyers Road,,,London,SW16 6LS,529638,170898,FSD
9998,S.Y.C.T. Juniors Club & Inters Club,Youth Club,Streatham Youth Centre,Conyers Road,,,London,SW16 6LS,529638,170898,FSD
2704,S.Y.C.T. Seniors Club,Youth Club,Streatham Youth Centre,Conyers Road,,,London,SW16 6LS,529638,170898,FSD
1930,Rough Sleepers Space,Support & Advice,St Leonards Church Hall,8 Tooting Bec Gardens,,,London,SW16 1RB,529939,171776,FSD
1931,Open Access Drop-In,Support & Advice,St Leonards Church Hall,8 Tooting Bec Gardens,,,London,SW16 1RB,529939,171776,FSD
1932,Women's Space,Support & Advice,St Leonards Church Hall,8 Tooting Bec Gardens,,,London,SW16 1RB,529939,171776,FSD
2113,St Michael's Fellowship,Organisation,St Michaels Fellowship,136 Streatham High Road,,,London,SW16 1BW,530100,172200,FSD
11103,Jigsaw Contact Service,Family Contact Centres,St Michaels Fellowship,136 Streatham High Road,,,London,SW16 1BW,530177,172171,FSD
3013,St Stephen's Youth Work,Youth Club,St Stephens Church Of England Church,Weir Road,,,London,SW12 0NU,529423,173694,FSD
9288,"Little Bears, St Thomas'",Parent and toddler groups,St Thomas Church,Telford Avenue,,,London,SW2 4XW,529720,173071,FSD
1393,Clapham Library,Library,Mary Seacole Centre,91 Clapham High Street,,,London,SW4 7DB,529751,175455,FSD
2619,Alford House Youth Club,Youth Club,Alford House,Aveline Street,,,London,SE11 5DQ,531028,178246,FSD
4851,Alford House Mixed Youth Club,Youth Club,Alford House,Aveline Street,,,London,SE11 5DQ,531028,178246,FSD
4852,Alford House Girls Youth Club,Youth Club,Alford House,Aveline Street,,,London,SE11 5DQ,531028,178246,FSD
10017,Alford House Music Production Studio Sessions,Youth Club,Alford House,Aveline Street,,,London,SE11 5DQ,531028,178246,FSD
10018,Alford House Health And Fitness Studio Sessions,Youth Club,Alford House,Aveline Street,,,London,SE11 5DQ,531028,178246,FSD
2054,Art4space,Organisation,Studio 1,31 Jeffreys Road,,,London,SW4 6QU,530129,176253,FSD
4286,Lambeth Participation And Engagement Service (PES),Organisation,We Are 336,336 - 338 Brixton Road,,,London,SW9 7AA,531151,176041,FSD
2900,Brixton Advice Centre,Organisation,165 - 167 Railton Road,,,,London,SE24 0LU,531694,174769,FSD
1383,Brixton Library,Library,Brixton Tate Library,2 Brixton Oval,,,London,SW2 1JQ,531067,175255,FSD
1450,West Norwood Library,Library,West Norwood Library,1-5 Norwood High Street,,,London,SE27 9JX,531926,172187,FSD
3843,Wheels For Wellbeing,Organisation,336 Brixton Road,,,,London,SW9 7AA,531151,176041,FSD
10708,Wheels For Well Being S.E.N.D Sunday Cycling Sessions,Activity,Herne Hill Stadium,104 Burbage Road,,,London,SE24 9HE,532781,174202,FSD
4684,Roots & Shoots,Organisation,Roots and Shoots,Walnut Tree Walk,,,London,SE11 6DN,531144,178849,FSD
10834,Oasis Hub Waterloo - Playspace,Organisation,1A Kennington Road,,,,London,SE1 7QP,531169,179389,FSD
10836,Waterloo Food Bank,Food Bank,1A Kennington Road,,,,London,SE1 7QP,531169,179389,FSD
10602,Dash - Young People's Sexual Health And Substance Use Service,Activity,Brixton Brook Advisory Centre,374 Brixton Road,,,London,SW9 7AW,531096,175794,FSD
10343,Brook - Healthy Lives For Young People,Organisation,Brixton Brook Advisory Centre,374 Brixton Road,,,London,SW9 7AW,531096,175794,FSD
10572,Brook Young People - Come Correct,Support & Advice,N/A cnline activities and virtual services,,,,,,531000,175700,FSD
4265,Childline,Organisation,,,,,,,,,FSD
3660,Kidscape,Organisation,,,,,,,,,FSD
3095,Park Campus Academy (Secondary Alternative Provision),Alternative Education,Park Campus,Gipsy Road,,,London,SE27 9NP,532328,171637,ECD
7337,Kings College Hospital School,Alternative Education,Park Campus,Gipsy Road,,,London,SE27 9NP,532328,171637,ECD
1388,Carnegie Library,Library,Carnegie Library,192 Herne Hill Road,,,London,SE24 0AG,532328,175252,FSD
1420,Streatham Library,Library,Streatham Library,63 Streatham High Road,,,London,SW16 1PN,530149,171946,FSD
10310,Lambeth Autism Group Parent And Carers Coffee Morning,Activity,Holy Trinity Church,Clapham Common North Side,,,London,SW4 0QZ,529154,175354,FSD
4147,National Autistic Society,Charity,National Autistic Society,391-393 City Road,,,London,EC1V 1NG,531500,183100,FSD
1525,Streatham Vale Stay And Play,Stay And Play One O'Clock Club,Streatham Vale Park,Abercairn Road,,,London,SW16 5AG,529359,170318,FSD
2279,Rathbone Youth Service,Youth Club,The Old Library in West Norwood,14 - 16 Knight's Hill,,,London,SE27 0HY,531887,172127,FSD
8954,Fridays @ The Old Library,Activity,The Old Library West Norwood,14 - 16 Knight's Hill,,,London,SE27 0HY,531887,172127,FSD
